epoch,accuracy,learning_rate,loss,top_k_categorical_accuracy,val_accuracy,val_loss,val_top_k_categorical_accuracy
0,0.9089635610580444,9.999999747378752e-05,0.246133953332901,1.0,0.7796052694320679,1.0645989179611206,1.0
1,0.9375,9.999999747378752e-05,0.1393289715051651,1.0,0.7746710777282715,1.0661205053329468,1.0
2,0.9684873819351196,9.999999747378752e-05,0.09934623539447784,1.0,0.7796052694320679,1.158972978591919,1.0
3,0.9375,9.999999747378752e-05,0.23352807760238647,1.0,0.7779605388641357,1.1579408645629883,1.0
4,0.9698879718780518,9.999999747378752e-05,0.08650829643011093,1.0,0.7746710777282715,1.0674080848693848,1.0
5,0.96875,9.999999747378752e-05,0.10462636500597,1.0,0.7746710777282715,1.0670697689056396,1.0
6,0.9747899174690247,4.999999873689376e-05,0.07015601545572281,1.0,0.7779605388641357,1.0771567821502686,1.0
7,0.9375,4.999999873689376e-05,0.07026530057191849,1.0,0.7779605388641357,1.0750845670700073,1.0
8,0.9712885022163391,4.999999873689376e-05,0.06822668015956879,1.0,0.7779605388641357,1.054770588874817,1.0
9,1.0,4.999999873689376e-05,0.026659607887268066,1.0,0.7779605388641357,1.0557063817977905,1.0
10,0.9712885022163391,4.999999873689376e-05,0.0840320885181427,1.0,0.7779605388641357,1.0612624883651733,1.0
