epoch,accuracy,learning_rate,loss,top_k_categorical_accuracy,val_accuracy,val_loss,val_top_k_categorical_accuracy
0,0.8445377945899963,0.0010000000474974513,0.43172383308410645,1.0,0.7220394611358643,0.6874710917472839,1.0
1,0.9375,0.0010000000474974513,0.21525263786315918,1.0,0.7302631735801697,0.6851792335510254,1.0
2,0.924369752407074,0.0010000000474974513,0.2166091799736023,1.0,0.7236841917037964,0.6860714554786682,1.0
3,0.9375,0.0010000000474974513,0.26232659816741943,1.0,0.7269737124443054,0.6820979118347168,1.0
4,0.9446778893470764,0.0010000000474974513,0.15752030909061432,1.0,0.7516447305679321,0.7436544299125671,1.0
5,0.9375,0.0010000000474974513,0.1539527028799057,1.0,0.7516447305679321,0.7454763054847717,1.0
6,0.9369747638702393,0.0010000000474974513,0.16861236095428467,1.0,0.7730262875556946,0.8553280234336853,1.0
7,0.84375,0.0010000000474974513,0.3260582685470581,1.0,0.7763158082962036,0.8528023958206177,1.0
8,0.9460784196853638,0.0010000000474974513,0.14909277856349945,1.0,0.7516447305679321,0.9547023773193359,1.0
9,1.0,0.0005000000237487257,0.04577479511499405,1.0,0.7483552694320679,0.9674175381660461,1.0
10,0.9516806602478027,0.0005000000237487257,0.11423583328723907,1.0,0.75,1.0187627077102661,1.0
11,1.0,0.0005000000237487257,0.04521862044930458,1.0,0.7516447305679321,1.0199472904205322,1.0
12,0.9607843160629272,0.0005000000237487257,0.11189870536327362,1.0,0.78125,1.0581774711608887,1.0
13,0.9375,0.0005000000237487257,0.08123449236154556,1.0,0.78125,1.053590178489685,1.0
14,0.9558823704719543,0.0002500000118743628,0.11130840331315994,1.0,0.7664473652839661,1.1122262477874756,1.0
15,0.84375,0.0002500000118743628,0.3466590940952301,1.0,0.7648026347160339,1.1119089126586914,1.0
16,0.9586834907531738,0.0002500000118743628,0.10871321707963943,1.0,0.7746710777282715,1.1912025213241577,1.0
17,0.96875,0.0002500000118743628,0.12335781008005142,1.0,0.7746710777282715,1.1916172504425049,1.0
18,0.9733893275260925,0.0002500000118743628,0.07434290647506714,1.0,0.7779605388641357,1.295039176940918,1.0
19,0.9375,0.0001250000059371814,0.13638247549533844,1.0,0.7779605388641357,1.2975612878799438,1.0
